id,name,link,current_price,original_price,discount_rate,rating_average,quantity_sold,authors,seller_name,category,manufacturer,short_description
16422544,Truyện Cổ Tích Thế Giới Hay Nhất - Nàng Bạch Tuyết Và Bảy Chú Lùn (Tái Bản),https://tiki.vn/product-p16422544.html?spid=25001058,15600,16000,3,5.0,135,.,Nhà sách Fahasa,Sách tiếng Việt,,"Seri truyện được tổng hợp từ những truyện cổ tích trẻ em được yêu thích nhất. Các câu truyện được kể lại đầy lôi cuốn bằng ngôn ngữ dễ hiểu. Hình minh họa to, rõ ràng với màu sắc rực rỡ bắt mắt chắc c..."
8149234,Hợp Tuyển Truyện Cổ Tích Việt Nam,https://tiki.vn/product-p8149234.html?spid=8149235,396000,550000,28,5.0,195,"Lữ Huy Nguyên, Đặng Văn Lung",VIETNAMBOOK,Root,Nhà Xuất Bản Văn Học,Truyện cổ tích là một thể loại sáng tác dân gian được nhiều người nhiều thế hệ say mê. Vẻ đẹp của nó hấp dẫn suốt dọc cuộc đời mỗi con người. Những giá trị thẩm mĩ sâu sắc và mạnh mẽ của truyện cổ tíc...
274567411,"Sự tích Cây vú sữa – Truyện cổ tích Việt Nam minh họa màu sinh động, giàu tính nhân văn",https://tiki.vn/product-p274567411.html?spid=274567412,21000,35000,40,5.0,19,"Nguyễn Minh Thư,  Nguyễn Thanh Hà",Tủ sách Mây Mộng Mơ,Truyện cổ tích,Nhà Xuất Bản Hội Nhà Văn,"SỰ TÍCH CÂY VÚ SỮA – Câu chuyện cổ tích Việt Nam phiên bản mới“Sự tích Cây Vú Sữa” thuộc Tủ sách Mây Mộng Mơ – bộ truyện tranh cổ tích Việt Nam được viết lại sáng tạo và minh họa sinh động, dành cho ..."
270483781,"Kho tàng truyện cổ tích Việt Nam (Bộ 5 tập, in lần thứ 10, hiệu chỉnh đầy đủ theo bản gốc)",https://tiki.vn/product-p270483781.html?spid=270483782,578000,680000,15,5.0,17,,Cá Chép Bookstore,Truyện cổ tích,Nhà Xuất Bản Hội Nhà Văn,"Kho tàng truyện cổ tích Việt Nam NỘI DUNG SÁCH:Kho tàng truyện cổ tích Việt Nam gồm 5 tập, là công trình nghiên cứu khoa học có giá trị, đồng thời là bộ sưu tập truyện cổ tích, gồm 201 truyện được k..."
204828535,Sách Cổ Tích Việt Nam - Sự Tích Hồ Ba Bể,https://tiki.vn/product-p204828535.html?spid=204828536,11500,16000,28,5.0,39,Linh Nhi,Tiki Trading,Root,Nhà Xuất Bản Mỹ Thuật,"Cổ Tích Việt Nam - Sự Tích Hồ Ba BểGiới thiệu sáchTừ thở ấu thơ, các em nhỏ đã được biết đến những câu chuyện cổ tích qua lời kể của bà. của mẹ. Đó là một thế giới vô cùng hấp dẫn, lôi cuốn với biế..."
196292024,Cuốn sách đầu tiên của tớ: Truyện cổ Andersen,https://tiki.vn/product-p196292024.html?spid=196292025,71000,125000,43,5.0,39,Triệu Trân – Lưu Lệ Cầm,Tiki Trading,Truyện cổ tích,Nhà Xuất Bản Mỹ Thuật,"Cuốn Sách Đầu Tiên Của Tớ - Truyện Cổ AndersenGiới thiệu sáchThế giới truyện cổ tích của Andersen đưa chúng ta đến với những miền đất xa xôi, cùng làm bạn với nàng tiêncá, vịt con xấu xí, cô bé bán ..."
133949620,Truyện cổ Grimm chọn lọc (bìa mềm),https://tiki.vn/product-p133949620.html?spid=133949621,46800,90000,48,4.8,374,Anh Em Grimm,TUANVIET BOOKS Official Store,Truyện cổ tích,Nhà Xuất Bản Mỹ Thuật,"Trong thế giới cổ tích bao la, nơi các chàng dũng sĩ quả cảm và những nàng công chúa thông minh, có các bà tiên bao dung tài phép nhưng cũng có những mụ phù thủy độc ác, những con quỷ đáng sợ, các em ..."
110850687,Truyện Cổ Tích Việt Nam Dành Cho Bé Chăm Chỉ,https://tiki.vn/product-p110850687.html?spid=110850688,66000,80000,18,5.0,52,Nhiều tác giả,Tiki Trading,Truyện cổ tích,Nhà Xuất Bản Kim Đồng,"Truyện Cổ Tích Việt Nam Dành Cho Bé Chăm ChỉNhà xuất bản Kim Đồng trân trọng gửi đến bạn đọc tuyển tập những câu chuyện cổ tích dân gian Việt Nam được trau chuốt kĩ càng, được các họa sĩ hàng đầu nư..."
93333165,Sách Ngày Xửa Ngày Xưa - Cô Bé Quàng Khăn Đỏ (Tái Bản),https://tiki.vn/product-p93333165.html?spid=93333193,31600,49000,36,5.0,30,Phỏng theo truyện cổ Grimm,Tiki Trading,Truyện cổ tích,Nhà Xuất Bản Dân Trí,"Cô bé quàng khăn đỏ thuộc bộ sách Bộ sách Ngày Xửa Ngày Xưa, dành cho những em bé giàu trí tưởng tượng say mê những câu chuyện thần tiên, những em nhỏ đang háo hức tập đọc, những người lớn mơ mộng muố..."
93327791,Sách Ngày Xửa Ngày Xưa - Cô Bé Lọ Lem (Tái Bản),https://tiki.vn/product-p93327791.html?spid=93327792,28900,49000,41,5.0,28,Phỏng theo Charles Perrault,Tiki Trading,Root,Nhà Xuất Bản Dân Trí,"Ngày Xửa Ngày Xưa - Cô Bé Lọ Lem (Tái Bản)Giới thiệu sáchBộ sách “Ngày Xửa Ngày Xưa” tái hiện những câu chuyện thần tiên với hình minh họa đẹp mắt và sinh động. Cuốn sách ""Cô Bé Lọ Lem"" không chỉ l..."
