id,name,link,current_price,original_price,discount_rate,rating_average,quantity_sold,authors,seller_name,category,manufacturer,short_description
165089915,"7 Câu Hỏi ""Thần Kỳ"" Của Mọi Sếp Giỏi (Tái bản)",https://tiki.vn/product-p165089915.html?spid=165089916,110000,150000,27,5.0,874,Michael Bungay Stanier,Tiki Trading,Sách quản trị nhân lực,Nhà Xuất Bản Thế Giới,"Đôi nét về tác phẩm:Kỹ năng lãnh đạo là chủ đề làm tốn nhiều giấy mực. Nhiều chuyên gia cho rằng huấn luyện nhân viên là hành vi lãnh đạo cơ bản. Nhà tâm lý học – nhà báo Daniel Goleman, người phổ bi..."
145288041,"Thực Thi Xuất Sắc (The Execution Premium) - Robert S. Kaplan, David P. Norton - PACE Books",https://tiki.vn/product-p145288041.html?spid=145288042,136000,165000,18,4.8,248,"Robert S. Kaplan, David P. Norton",Tiki Trading,Sách quản trị nhân lực,Nhà Xuất Bản Tổng hợp TP.HCM,"Trong môi trường kinh doanh cạnh tranh ngày càng gay gắt hiện nay, chiến lược kinh doanh trở nên quan trọng hơn bao giờ hết. Tuy nhiên, hầu hết các tổ chức gặp khó khăn trong vấn đề này, không phải vớ..."
109982863,Tầm Nhìn Chiến Lược Nhân Sự,https://tiki.vn/product-p109982863.html?spid=109982866,70400,89000,21,5.0,240,"Yagi Yosuke, Kanai Toshihino",Tiki Trading,Sách quản trị nhân lực,Nhà Xuất Bản Lao Động,"Đồng sáng lập tập đoàn HP - Bill Hewlett nói rằng: “Công việc của người quản trị nhân lực là giúp nâng cao chất lượng điều hành, quản lý.”Trong kinh doanh, không một yếu tố nào có thể cải thiện năng ..."
108501262,Hướng Dẫn Triển Khai Lean Six Sigma (Tái Bản),https://tiki.vn/product-p108501262.html?spid=108501269,62200,95000,35,4.7,250,Benjamin Sweeney,Tiki Trading,Sách quản trị nhân lực,Nhà Xuất Bản Tổng hợp TP.HCM,"HƯỚNG DẪN TRIỂN KHAI LEAN SIX SIGMA(Lean Six Sigma Quickstart Guide)Công nghệ toàn cầu, triết lý kinh doanh và những quan niệm phổ biến hiện nay đang tạo ra một làn sóng phát triển các phương pháp h..."
87600278,The Culture Code: Khám Phá Sức Mạnh Văn Hóa Đội Nhóm,https://tiki.vn/product-p87600278.html?spid=92496861,83400,139000,40,4.7,317,Daniel Coyle,Tiki Trading,Sách quản trị nhân lực,Nhà Xuất Bản Thế Giới,THE CULTURE CODE: KHÁM PHÁ SỨC MẠNH VĂN HÓA ĐỘI NHÓMTác giả của Khám phá sức mạnh văn hóa đội nhóm sẽ hé lộ những bí mật của các nhóm vô cùng thành công và cung cấp cho các nhà lãnh đạo tương lai các...
86517377,"Sách PACE Books - Tâm thức lãnh đạo (The Mind Of The Leader) - Rasmus Hougaard, Jacqueline Carter",https://tiki.vn/product-p86517377.html?spid=89047566,180400,205000,12,5.0,286,"Rasmus Hougaard, Jacqueline Carter",PACE Books,Sách quản trị nhân lực,Nhà Xuất Bản Tổng hợp TP.HCM,"Tác phẩm: “TÂM THỨC LÃNH ĐẠO” (The Mind of The Leader)Tác giả: Rasmus Hougaard, Jacqueline CarterBiên dịch: Hoàng Mạnh HảiPACE Books phát hành | NXB Tổng HợpTâm thức lãnh đạo(The Mind of The Leader)..."
77858321,Trải Nghiệm Nhân Viên,https://tiki.vn/product-p77858321.html?spid=77858322,94800,130000,27,4.8,912,"Matthew Wride, Tracy Maylett",Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Thế Giới,"Trải nghiệm Nhân viên là gì?Trong nhiều thập kỷ qua, nhiều nhà quản lý doanh nghiệp luôn bị ám ảnh bởi việc tạo ra lợi nhuận và thúc đẩy tăng trưởng bằng cách liên tục cải tiến sản phẩm, thực hiện cá..."
76599930,Lãnh Đạo Phục Vụ (Servant Leadership) - Robert K. Greenleaf - PACE Books,https://tiki.vn/product-p76599930.html?spid=157636644,171600,195000,12,5.0,77,Robert K. Greenleaf,PACE Books,Sách quản trị nhân lực,Nhà Xuất Bản Tổng hợp TP.HCM,Tác giả: Robert K. GreenleafBiên dịch: Trần Vĩnh Tân | Hiệu đính: Nguyễn Dương HiếuLãnh đạo phục vụ(Servant Leadership)“Lãnh đạo phục vụ” là một quyển sách đột phá trong lĩnh vực lãnh đạo chuyển hóa...
75454156,6 Thực Hành Thiết Yếu Để Quản Trị Đội Ngũ (Everyone Deserves A Great Manager: The 6 Critical Practices For Leading A Team) - PACE Books,https://tiki.vn/product-p75454156.html?spid=76261278,136400,155000,12,5.0,171,"Todd Davis, Victoria Roos Olsson, Scott Jeffrey Miller",PACE Books,Sách quản trị nhân lực,Nhà Xuất Bản Tổng hợp TP.HCM,6 Thực Hành Thiết Yếu Để Quản Trị Đội Ngũ(Everyone Deserves A Great Manager: The 6 Critical Practices For Leading A Team)Tác giả: Scott Jeffrey Miller | Todd Davis | Victoria Roos OlssonBiên dịch: V...
74458468,Lãnh Đạo Và Văn Hóa Doanh Nghiệp,https://tiki.vn/product-p74458468.html?spid=74458469,123000,180000,32,4.8,952,"Edgar H. Schein, Peter Schein",Tiki Trading,Root,Nhà Xuất Bản Thế Giới,"LÃNH ĐẠO VÀ VĂN HÓA DOANH NGHIỆPCách xây dựng văn hóa doanh nghiệp để nâng cao sự hài lòng và hiệu suất của nhân viênTrong suốt mấy mươi năm, các vấn đề xoay quanh văn hóa doanh nghiệp chưa bao giờ ..."
70743641,Tinh Hoa Của Thuyết U (The Essentials Of Theory U) - C. Otto Scharmer - PACE Books,https://tiki.vn/product-p70743641.html?spid=70743642,73200,95000,23,4.7,390,C. Otto Scharmer,Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Tổng hợp TP.HCM,Tinh hoa của Thuyết U (The Essentials of Theory U)“Quyển sách này mang đến một ngôn ngữ mới và giúp chúng ta có những cách mới mẻ để hợp nhất những kiến thức tâm lý học về mindfulness với xã hội học ...
65443438,KPI Thước Đo Mục Tiêu Trọng Yếu (Key Performance Indicators) - David Parmenter - PACE Books,https://tiki.vn/product-p65443438.html?spid=65443439,153000,195000,22,4.8,1063,David Parmenter,Tiki Trading,Sách quản trị nhân lực,Nhà Xuất Bản Tổng hợp TP.HCM,"Tác phẩm: “KPI – Thước đo mục tiêu trọng yếu” (Key Performance Indicators)Tác giả: David Parmenter | Dịch: Mai Chí TrungNhiều nghiên cứu trên khắp thế giới, trong đó có nghiên cứu của Robert Kaplan,..."
